hospital,Q1_total number of tested patients,Q1_total number of specimens,Q1_total number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients _S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients _E. coli,Q1_isolation rate_E. coli,Q1_number of patients _K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients _P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients _MRSA,Q1_isolation rate_MRSA,Q1_number of patients _PRSP,Q1_isolation rate_PRSP,Q1_number of patients _CRP,Q1_isolation rate_CRP,Q1_number of patients _3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients _3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q1_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q1_isolation rate_MRSA,Q2_number of patients_PRSP,Q1_isolation rate_PRSP,Q2_number of patients_CRP,Q1_isolation rate_CRP,Q2_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q3_total number of testes patients,Q3_total number of isolation,Q3_total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
290,289,638,47,0.1626,2,0.0069,51,0.1765,20,0.0692,20,0.0692,22,0.0761,1,0.0035,1,0.0035,3,0.0104,10,0.0346,294,694,417,37,0.1259,3,0.0102,41,0.1395,20,0.068,27,0.0918,20,0.068,1,0.0034,1,0.0034,1,0.0034,13,0.0442,304,669,460,47,0.1546,1,0.0033,46,0.1513,23,0.0757,28,0.0921,30,0.0987,0,0,3,0.0099,3,0.0099,13,0.0428
291,223,435,30,0.1345,4,0.0179,22,0.0987,9,0.0404,11,0.0493,14,0.0628,2,0.009,1,0.0045,0,0,6,0.0269,256,476,161,18,0.0703,2,0.0078,26,0.1016,2,0.0078,6,0.0234,16,0.0625,1,0.0039,1,0.0039,0,0,4,0.0156,243,440,278,29,0.1193,1,0.0041,35,0.144,13,0.0535,8,0.0329,19,0.0782,0,0,1,0.0041,0,0,15,0.0617
292,180,401,27,0.15,2,0.0111,27,0.15,25,0.1389,27,0.15,19,0.1056,2,0.0111,3,0.0167,6,0.0333,15,0.0833,177,409,581,43,0.2429,2,0.0113,40,0.226,20,0.113,35,0.1977,30,0.1695,2,0.0113,3,0.0169,4,0.0226,18,0.1017,164,393,560,37,0.2256,3,0.0183,26,0.1585,25,0.1524,44,0.2683,26,0.1585,2,0.0122,2,0.0122,9,0.0549,12,0.0732
293,334,911,48,0.1437,2,0.006,55,0.1647,17,0.0509,10,0.0299,24,0.0719,2,0.006,0,0,0,0,12,0.0359,349,889,492,45,0.1289,0,0,40,0.1146,9,0.0258,11,0.0315,23,0.0659,0,0,0,0,0,0,6,0.0172,361,831,549,49,0.1357,1,0.0028,49,0.1357,28,0.0776,27,0.0748,33,0.0914,1,0.0028,0,0,5,0.0139,11,0.0305
294,27,51,11,0.4074,1,0.037,5,0.1852,1,0.037,1,0.037,10,0.3704,0,0,0,0,0,0,2,0.0741,29,35,16,5,0.1724,0,0,2,0.069,1,0.0345,0,0,4,0.1379,0,0,0,0,0,0,1,0.0345,28,43,22,7,0.25,0,0,3,0.1071,1,0.0357,0,0,5,0.1786,0,0,0,0,0,0,2,0.0714
295,1077,2994,90,0.0836,5,0.0046,103,0.0956,40,0.0371,47,0.0436,38,0.0353,2,0.0019,2,0.0019,1,0.0009,24,0.0223,1009,2693,1022,112,0.111,4,0.004,92,0.0912,39,0.0387,48,0.0476,45,0.0446,3,0.003,2,0.002,2,0.002,22,0.0218,1045,2876,1193,94,0.09,4,0.0038,97,0.0928,56,0.0536,61,0.0584,35,0.0335,2,0.0019,5,0.0048,3,0.0029,18,0.0172
296,308,793,20,0.0649,3,0.0097,38,0.1234,29,0.0942,12,0.039,9,0.0292,0,0,0,0,4,0.013,7,0.0227,286,786,285,16,0.0559,2,0.007,40,0.1399,34,0.1189,9,0.0315,11,0.0385,1,0.0035,0,0,6,0.021,3,0.0105,277,762,281,22,0.0794,0,0,44,0.1588,20,0.0722,9,0.0325,8,0.0289,0,0,0,0,0,0,4,0.0144
297,445,1333,57,0.1281,0,0,5,0.0112,19,0.0427,7,0.0157,28,0.0629,0,0,2,0.0045,1,0.0022,4,0.009,386,1306,760,43,0.1114,2,0.0052,2,0.0052,20,0.0518,8,0.0207,21,0.0544,0,0,2,0.0052,0,0,2,0.0052,402,1335,713,50,0.1244,0,0,1,0.0025,28,0.0697,10,0.0249,21,0.0522,0,0,2,0.005,0,0,1,0.0025
298,142,216,26,0.1831,0,0,7,0.0493,3,0.0211,13,0.0915,24,0.169,0,0,6,0.0423,1,0.007,5,0.0352,144,255,136,35,0.2431,0,0,14,0.0972,2,0.0139,15,0.1042,33,0.2292,0,0,4,0.0278,1,0.0069,9,0.0625,123,166,67,16,0.1301,0,0,7,0.0569,0,0,16,0.1301,11,0.0894,0,0,6,0.0488,0,0,6,0.0488
299,186,398,25,0.1344,2,0.0108,21,0.1129,14,0.0753,11,0.0591,9,0.0484,0,0,0,0,0,0,6,0.0323,203,441,408,37,0.1823,2,0.0099,28,0.1379,12,0.0591,9,0.0443,20,0.0985,1,0.0049,1,0.0049,0,0,6,0.0296,197,408,459,36,0.1827,0,0,37,0.1878,19,0.0964,12,0.0609,26,0.132,0,0,1,0.0051,0,0,6,0.0305
300,965,3322,105,0.1088,5,0.0052,85,0.0881,25,0.0259,58,0.0601,31,0.0321,3,0.0031,7,0.0073,0,0,17,0.0176,1036,3345,1964,90,0.0869,11,0.0106,84,0.0811,25,0.0241,52,0.0502,31,0.0299,8,0.0077,8,0.0077,1,0.001,21,0.0203,1048,3288,1741,107,0.1021,5,0.0048,84,0.0802,39,0.0372,57,0.0544,35,0.0334,3,0.0029,12,0.0115,2,0.0019,20,0.0191
301,684,1713,60,0.0877,8,0.0117,76,0.1111,40,0.0585,31,0.0453,38,0.0556,2,0.0029,4,0.0058,7,0.0102,20,0.0292,753,1788,1309,61,0.081,24,0.0319,81,0.1076,33,0.0438,29,0.0385,39,0.0518,9,0.012,2,0.0027,2,0.0027,22,0.0292,633,1546,1181,65,0.1027,6,0.0095,50,0.079,38,0.06,32,0.0506,38,0.06,2,0.0032,3,0.0047,7,0.0111,20,0.0316
302,258,530,33,0.1279,5,0.0194,29,0.1124,14,0.0543,10,0.0388,17,0.0659,2,0.0078,0,0,1,0.0039,12,0.0465,336,657,380,36,0.1071,10,0.0298,35,0.1042,25,0.0744,15,0.0446,20,0.0595,5,0.0149,1,0.003,3,0.0089,10,0.0298,340,721,457,36,0.1059,7,0.0206,43,0.1265,28,0.0824,27,0.0794,15,0.0441,6,0.0176,1,0.0029,2,0.0059,14,0.0412
303,829,2560,83,0.1001,10,0.0121,187,0.2256,45,0.0543,30,0.0362,28,0.0338,0,0,4,0.0048,0,0,49,0.0591,895,2664,1688,91,0.1017,6,0.0067,209,0.2335,40,0.0447,46,0.0514,41,0.0458,0,0,4,0.0045,1,0.0011,44,0.0492,866,2603,1779,104,0.1201,11,0.0127,221,0.2552,36,0.0416,35,0.0404,35,0.0404,0,0,7,0.0081,2,0.0023,56,0.0647
304,114,178,7,0.0614,2,0.0175,27,0.2368,7,0.0614,4,0.0351,4,0.0351,2,0.0175,0,0,0,0,4,0.0351,138,237,154,9,0.0652,0,0,20,0.1449,12,0.087,8,0.058,3,0.0217,0,0,0,0,0,0,7,0.0507,146,240,148,10,0.0685,0,0,35,0.2397,13,0.089,8,0.0548,6,0.0411,0,0,0,0,0,0,7,0.0479
305,230,485,22,0.0957,0,0,39,0.1696,13,0.0565,11,0.0478,5,0.0217,0,0,1,0.0043,0,0,9,0.0391,227,508,374,21,0.0925,1,0.0044,29,0.1278,15,0.0661,12,0.0529,11,0.0485,0,0,1,0.0044,2,0.0088,7,0.0308,240,520,393,30,0.125,1,0.0042,42,0.175,21,0.0875,11,0.0458,18,0.075,0,0,1,0.0042,1,0.0042,7,0.0292
306,385,987,41,0.1065,1,0.0026,53,0.1377,22,0.0571,13,0.0338,19,0.0494,0,0,0,0,0,0,17,0.0442,346,847,435,35,0.1012,1,0.0029,67,0.1936,24,0.0694,10,0.0289,15,0.0434,1,0.0029,0,0,0,0,22,0.0636,361,867,354,36,0.0997,1,0.0028,44,0.1219,14,0.0388,16,0.0443,17,0.0471,0,0,1,0.0028,1,0.0028,23,0.0637
307,380,889,24,0.0632,4,0.0105,76,0.2,31,0.0816,23,0.0605,10,0.0263,1,0.0026,8,0.0211,0,0,28,0.0737,344,729,366,33,0.0959,0,0,65,0.189,22,0.064,23,0.0669,19,0.0552,0,0,3,0.0087,0,0,18,0.0523,340,753,326,24,0.0706,1,0.0029,51,0.15,34,0.1,20,0.0588,20,0.0588,0,0,2,0.0059,0,0,10,0.0294
308,184,489,25,0.1359,4,0.0217,38,0.2065,12,0.0652,11,0.0598,15,0.0815,2,0.0109,0,0,1,0.0054,8,0.0435,163,410,214,8,0.0491,2,0.0123,44,0.2699,18,0.1104,9,0.0552,6,0.0368,0,0,0,0,1,0.0061,15,0.092,142,394,197,10,0.0704,0,0,31,0.2183,13,0.0915,7,0.0493,6,0.0423,0,0,0,0,2,0.0141,6,0.0423
309,208,498,46,0.2212,7,0.0337,23,0.1106,20,0.0962,45,0.2163,7,0.0337,0,0,1,0.0048,0,0,8,0.0385,220,583,303,51,0.2318,1,0.0045,34,0.1545,14,0.0636,48,0.2182,10,0.0455,0,0,0,0,0,0,10,0.0455,205,541,315,50,0.2439,4,0.0195,34,0.1659,21,0.1024,42,0.2049,10,0.0488,0,0,0,0,0,0,13,0.0634
310,1684,5845,214,0.1271,17,0.0101,198,0.1176,82,0.0487,98,0.0582,52,0.0309,11,0.0065,2,0.0012,6,0.0036,39,0.0232,1762,5956,3707,190,0.1078,18,0.0102,225,0.1277,86,0.0488,75,0.0426,59,0.0335,8,0.0045,1,0.0006,2,0.0011,50,0.0284,1715,5724,3666,203,0.1184,15,0.0087,221,0.1289,85,0.0496,93,0.0542,60,0.035,6,0.0035,2,0.0012,5,0.0029,39,0.0227
311,1196,4147,168,0.1405,4,0.0033,105,0.0878,57,0.0477,46,0.0385,73,0.061,2,0.0017,5,0.0042,9,0.0075,43,0.036,1050,3531,1584,172,0.1638,7,0.0067,110,0.1048,60,0.0571,47,0.0448,71,0.0676,4,0.0038,10,0.0095,14,0.0133,52,0.0495,1018,3316,1660,175,0.1719,6,0.0059,95,0.0933,69,0.0678,50,0.0491,73,0.0717,4,0.0039,9,0.0088,11,0.0108,38,0.0373
312,384,977,86,0.224,7,0.0182,114,0.2969,70,0.1823,106,0.276,57,0.1484,4,0.0104,35,0.0911,34,0.0885,61,0.1589,374,986,1577,112,0.2995,12,0.0321,124,0.3316,63,0.1684,116,0.3102,78,0.2086,9,0.0241,44,0.1176,42,0.1123,68,0.1818,382,1039,1584,96,0.2513,5,0.0131,117,0.3063,59,0.1545,125,0.3272,66,0.1728,4,0.0105,43,0.1126,33,0.0864,70,0.1832
313,1216,4112,178,0.1464,15,0.0123,260,0.2138,87,0.0715,58,0.0477,80,0.0658,0,0,0,0,0,0,0,0,1286,3843,2099,169,0.1314,8,0.0062,246,0.1913,79,0.0614,63,0.049,69,0.0537,0,0,0,0,0,0,0,0,1244,3974,2258,127,0.1021,5,0.004,241,0.1937,111,0.0892,49,0.0394,53,0.0426,0,0,0,0,0,0,0,0
314,513,1273,51,0.0994,0,0,43,0.0838,11,0.0214,12,0.0234,21,0.0409,0,0,2,0.0039,2,0.0039,19,0.037,385,980,671,51,0.1325,1,0.0026,52,0.1351,18,0.0468,18,0.0468,18,0.0468,0,0,3,0.0078,1,0.0026,5,0.013,386,1015,655,39,0.101,0,0,49,0.1269,16,0.0415,19,0.0492,19,0.0492,0,0,5,0.013,0,0,9,0.0233
315,759,2187,102,0.1344,6,0.0079,76,0.1001,38,0.0501,37,0.0487,38,0.0501,3,0.004,4,0.0053,2,0.0026,22,0.029,706,2035,1196,96,0.136,6,0.0085,82,0.1161,27,0.0382,31,0.0439,41,0.0581,4,0.0057,3,0.0042,0,0,30,0.0425,752,2152,1399,91,0.121,7,0.0093,87,0.1157,42,0.0559,56,0.0745,45,0.0598,2,0.0027,5,0.0066,3,0.004,29,0.0386
316,456,1126,35,0.0768,2,0.0044,39,0.0855,15,0.0329,16,0.0351,15,0.0329,0,0,1,0.0022,0,0,17,0.0373,502,1335,593,36,0.0717,3,0.006,61,0.1215,13,0.0259,17,0.0339,13,0.0259,0,0,1,0.002,0,0,21,0.0418,497,1278,491,27,0.0543,1,0.002,40,0.0805,18,0.0362,23,0.0463,9,0.0181,0,0,3,0.006,2,0.004,12,0.0241
317,341,1056,57,0.1672,10,0.0293,65,0.1906,37,0.1085,25,0.0733,42,0.1232,5,0.0147,5,0.0147,7,0.0205,24,0.0704,358,1044,599,52,0.1453,10,0.0279,105,0.2933,30,0.0838,30,0.0838,42,0.1173,5,0.014,4,0.0112,3,0.0084,46,0.1285,357,1051,561,43,0.1204,9,0.0252,75,0.2101,37,0.1036,32,0.0896,36,0.1008,2,0.0056,3,0.0084,0,0,37,0.1036
318,366,698,36,0.0984,4,0.0109,37,0.1011,16,0.0437,11,0.0301,16,0.0437,1,0.0027,1,0.0027,1,0.0027,17,0.0464,348,653,316,34,0.0977,2,0.0057,32,0.092,14,0.0402,13,0.0374,11,0.0316,0,0,1,0.0029,0,0,8,0.023,369,680,379,41,0.1111,1,0.0027,46,0.1247,22,0.0596,9,0.0244,24,0.065,0,0,1,0.0027,1,0.0027,11,0.0298
319,300,613,53,0.1767,5,0.0167,50,0.1667,15,0.05,22,0.0733,25,0.0833,1,0.0033,4,0.0133,1,0.0033,12,0.04,320,601,794,43,0.1344,2,0.0063,42,0.1313,11,0.0344,31,0.0969,25,0.0781,1,0.0031,10,0.0313,1,0.0031,12,0.0375,287,544,684,53,0.1847,3,0.0105,34,0.1185,12,0.0418,32,0.1115,34,0.1185,0,0,7,0.0244,1,0.0035,11,0.0383
320,361,1130,52,0.144,2,0.0055,86,0.2382,24,0.0665,29,0.0803,26,0.072,2,0.0055,2,0.0055,1,0.0028,21,0.0582,363,1005,474,49,0.135,4,0.011,49,0.135,23,0.0634,14,0.0386,28,0.0771,2,0.0055,2,0.0055,1,0.0028,13,0.0358,384,1020,598,52,0.1354,5,0.013,76,0.1979,35,0.0911,22,0.0573,28,0.0729,4,0.0104,1,0.0026,1,0.0026,30,0.0781
321,770,2527,108,0.1403,0,0,94,0.1221,52,0.0675,45,0.0584,37,0.0481,0,0,5,0.0065,0,0,17,0.0221,791,2580,2291,129,0.1631,6,0.0076,95,0.1201,43,0.0544,42,0.0531,63,0.0796,5,0.0063,8,0.0101,0,0,19,0.024,793,2644,2424,113,0.1425,5,0.0063,101,0.1274,69,0.087,51,0.0643,41,0.0517,4,0.005,11,0.0139,3,0.0038,44,0.0555
322,299,476,29,0.097,3,0.01,13,0.0435,4,0.0134,23,0.0769,20,0.0669,3,0.01,0,0,1,0.0033,4,0.0134,319,584,692,33,0.1034,5,0.0157,20,0.0627,6,0.0188,23,0.0721,25,0.0784,4,0.0125,0,0,1,0.0031,12,0.0376,339,625,915,41,0.1209,9,0.0265,22,0.0649,13,0.0383,35,0.1032,35,0.1032,8,0.0236,1,0.0029,1,0.0029,8,0.0236
323,598,1797,64,0.107,6,0.01,46,0.0769,23,0.0385,21,0.0351,13,0.0217,3,0.005,6,0.01,3,0.005,9,0.0151,633,2029,1020,77,0.1216,1,0.0016,62,0.0979,26,0.0411,26,0.0411,32,0.0506,1,0.0016,2,0.0032,0,0,13,0.0205,667,2071,1051,81,0.1214,4,0.006,53,0.0795,28,0.042,30,0.045,34,0.051,1,0.0015,3,0.0045,3,0.0045,14,0.021
324,815,2325,170,0.2086,11,0.0135,94,0.1153,38,0.0466,43,0.0528,33,0.0405,5,0.0061,2,0.0025,5,0.0061,15,0.0184,831,2443,2942,160,0.1925,13,0.0156,127,0.1528,39,0.0469,66,0.0794,31,0.0373,3,0.0036,8,0.0096,0,0,11,0.0132,956,2748,3017,159,0.1663,3,0.0031,122,0.1276,42,0.0439,69,0.0722,36,0.0377,0,0,3,0.0031,0,0,16,0.0167
325,582,1469,86,0.1478,1,0.0017,111,0.1907,50,0.0859,35,0.0601,32,0.055,0,0,7,0.012,2,0.0034,21,0.0361,485,1385,1646,62,0.1278,6,0.0124,103,0.2124,48,0.099,30,0.0619,25,0.0515,3,0.0062,3,0.0062,2,0.0041,27,0.0557,584,1549,1974,69,0.1182,5,0.0086,124,0.2123,63,0.1079,46,0.0788,24,0.0411,2,0.0034,5,0.0086,4,0.0068,18,0.0308
326,127,178,21,0.1654,1,0.0079,9,0.0709,7,0.0551,7,0.0551,10,0.0787,1,0.0079,3,0.0236,0,0,7,0.0551,133,186,73,25,0.188,0,0,7,0.0526,7,0.0526,8,0.0602,13,0.0977,0,0,2,0.015,0,0,4,0.0301,152,222,101,21,0.1382,1,0.0066,18,0.1184,7,0.0461,22,0.1447,15,0.0987,1,0.0066,6,0.0395,0,0,14,0.0921
327,580,1413,94,0.1621,17,0.0293,101,0.1741,59,0.1017,27,0.0466,43,0.0741,1,0.0017,2,0.0034,3,0.0052,19,0.0328,509,1214,1154,81,0.1591,6,0.0118,90,0.1768,52,0.1022,19,0.0373,28,0.055,3,0.0059,1,0.002,4,0.0079,18,0.0354,468,1105,1050,61,0.1303,5,0.0107,88,0.188,46,0.0983,25,0.0534,26,0.0556,1,0.0021,0,0,1,0.0021,13,0.0278
328,413,1055,71,0.1719,1,0.0024,73,0.1768,41,0.0993,24,0.0581,35,0.0847,0,0,0,0,0,0,0,0,370,896,758,43,0.1162,6,0.0162,61,0.1649,30,0.0811,24,0.0649,23,0.0622,2,0.0054,5,0.0135,0,0,8,0.0216,405,1002,896,70,0.1728,2,0.0049,66,0.163,29,0.0716,29,0.0716,39,0.0963,1,0.0025,9,0.0222,2,0.0049,21,0.0519
329,698,2090,63,0.0903,8,0.0115,67,0.096,24,0.0344,21,0.0301,26,0.0372,2,0.0029,1,0.0014,1,0.0014,18,0.0258,610,1870,1115,63,0.1033,2,0.0033,58,0.0951,14,0.023,33,0.0541,31,0.0508,2,0.0033,8,0.0131,1,0.0016,21,0.0344,675,2048,1226,72,0.1067,3,0.0044,78,0.1156,41,0.0607,27,0.04,26,0.0385,2,0.003,4,0.0059,3,0.0044,13,0.0193
330,623,1645,80,0.1284,8,0.0128,97,0.1557,25,0.0401,39,0.0626,29,0.0465,7,0.0112,6,0.0096,5,0.008,19,0.0305,563,1416,541,85,0.151,11,0.0195,77,0.1368,27,0.048,29,0.0515,38,0.0675,8,0.0142,2,0.0036,4,0.0071,10,0.0178,666,1667,585,83,0.1246,5,0.0075,89,0.1336,29,0.0435,27,0.0405,28,0.042,2,0.003,3,0.0045,1,0.0015,14,0.021
331,812,2224,128,0.1576,46,0.0567,104,0.1281,28,0.0345,32,0.0394,65,0.08,16,0.0197,3,0.0037,1,0.0012,27,0.0333,839,2349,2003,126,0.1502,48,0.0572,108,0.1287,28,0.0334,33,0.0393,60,0.0715,12,0.0143,11,0.0131,0,0,21,0.025,883,2545,2207,147,0.1665,52,0.0589,124,0.1404,46,0.0521,33,0.0374,60,0.068,26,0.0294,4,0.0045,0,0,27,0.0306
332,487,1083,42,0.0862,3,0.0062,56,0.115,0,0,18,0.037,21,0.0431,0,0,0,0,0,0,6,0.0123,575,1281,716,56,0.0974,12,0.0209,65,0.113,0,0,19,0.033,26,0.0452,6,0.0104,0,0,0,0,14,0.0243,527,1166,633,48,0.0911,6,0.0114,51,0.0968,0,0,39,0.074,31,0.0588,4,0.0076,2,0.0038,0,0,7,0.0133
333,853,2296,95,0.1114,4,0.0047,93,0.109,49,0.0574,41,0.0481,29,0.034,2,0.0023,3,0.0035,2,0.0023,17,0.0199,849,2064,1440,98,0.1154,9,0.0106,113,0.1331,38,0.0448,22,0.0259,44,0.0518,3,0.0035,3,0.0035,0,0,20,0.0236,870,2264,1681,106,0.1218,8,0.0092,135,0.1552,59,0.0678,46,0.0529,40,0.046,2,0.0023,3,0.0034,4,0.0046,32,0.0368
334,904,2360,138,0.1527,10,0.0111,105,0.1162,44,0.0487,42,0.0465,72,0.0796,5,0.0055,4,0.0044,2,0.0022,37,0.0409,918,2423,1195,120,0.1307,3,0.0033,118,0.1285,29,0.0316,41,0.0447,56,0.061,1,0.0011,6,0.0065,0,0,41,0.0447,937,2400,1339,138,0.1473,10,0.0107,123,0.1313,61,0.0651,42,0.0448,68,0.0726,5,0.0053,0,0,2,0.0021,29,0.0309
335,220,413,32,0.1455,5,0.0227,36,0.1636,10,0.0455,10,0.0455,14,0.0636,0,0,0,0,0,0,5,0.0227,255,514,480,38,0.149,6,0.0235,30,0.1176,13,0.051,11,0.0431,19,0.0745,3,0.0118,0,0,0,0,6,0.0235,230,394,371,39,0.1696,5,0.0217,19,0.0826,5,0.0217,10,0.0435,22,0.0957,2,0.0087,0,0,0,0,3,0.013
336,244,508,39,0.1598,1,0.0041,26,0.1066,24,0.0984,28,0.1148,20,0.082,1,0.0041,4,0.0164,0,0,5,0.0205,255,559,638,50,0.1961,6,0.0235,25,0.098,23,0.0902,40,0.1569,27,0.1059,3,0.0118,5,0.0196,0,0,6,0.0235,361,688,900,82,0.2271,4,0.0111,48,0.133,23,0.0637,48,0.133,52,0.144,3,0.0083,12,0.0332,0,0,16,0.0443
337,101,234,19,0.1881,1,0.0099,26,0.2574,9,0.0891,21,0.2079,6,0.0594,1,0.0099,2,0.0198,2,0.0198,16,0.1584,102,227,318,16,0.1569,0,0,29,0.2843,11,0.1078,25,0.2451,8,0.0784,0,0,3,0.0294,1,0.0098,21,0.2059,122,262,397,25,0.2049,0,0,37,0.3033,13,0.1066,33,0.2705,10,0.082,0,0,3,0.0246,0,0,24,0.1967
338,181,327,24,0.1326,7,0.0387,48,0.2652,9,0.0497,17,0.0939,8,0.0442,6,0.0331,4,0.0221,0,0,12,0.0663,196,338,346,15,0.0765,9,0.0459,38,0.1939,10,0.051,15,0.0765,5,0.0255,6,0.0306,2,0.0102,0,0,5,0.0255,205,366,409,26,0.1268,7,0.0341,28,0.1366,15,0.0732,16,0.078,9,0.0439,4,0.0195,1,0.0049,0,0,5,0.0244
339,164,339,25,0.1524,3,0.0183,16,0.0976,14,0.0854,10,0.061,12,0.0732,2,0.0122,5,0.0305,0,0,0,0,159,359,408,25,0.1572,1,0.0063,21,0.1321,12,0.0755,14,0.0881,14,0.0881,0,0,0,0,0,0,0,0,173,356,408,20,0.1156,2,0.0116,17,0.0983,13,0.0751,13,0.0751,10,0.0578,1,0.0058,2,0.0116,0,0,0,0
340,178,439,28,0.1573,1,0.0056,41,0.2303,18,0.1011,22,0.1236,15,0.0843,1,0.0056,3,0.0169,1,0.0056,9,0.0506,202,505,461,33,0.1634,1,0.005,40,0.198,15,0.0743,19,0.0941,19,0.0941,1,0.005,4,0.0198,1,0.005,4,0.0198,209,549,532,38,0.1818,2,0.0096,50,0.2392,29,0.1388,26,0.1244,28,0.134,1,0.0048,4,0.0191,1,0.0048,14,0.067
341,754,2713,73,0.0968,3,0.004,107,0.1419,46,0.061,41,0.0544,31,0.0411,1,0.0013,8,0.0106,2,0.0027,27,0.0358,779,2592,1874,81,0.104,0,0,99,0.1271,33,0.0424,30,0.0385,29,0.0372,0,0,2,0.0026,2,0.0026,24,0.0308,815,2893,2159,88,0.108,3,0.0037,86,0.1055,44,0.054,43,0.0528,41,0.0503,2,0.0025,5,0.0061,7,0.0086,21,0.0258
342,661,2038,74,0.112,8,0.0121,90,0.1362,33,0.0499,30,0.0454,37,0.056,0,0,6,0.0091,1,0.0015,17,0.0257,491,1366,706,53,0.1079,6,0.0122,64,0.1303,11,0.0224,26,0.053,36,0.0733,0,0,6,0.0122,1,0.002,16,0.0326,588,1637,816,65,0.1105,1,0.0017,91,0.1548,3,0.0051,31,0.0527,50,0.085,0,0,4,0.0068,0,0,14,0.0238
343,396,1100,41,0.1035,0,0,42,0.1061,13,0.0328,12,0.0303,20,0.0505,0,0,2,0.0051,0,0,7,0.0177,406,1009,506,38,0.0936,4,0.0099,46,0.1133,20,0.0493,9,0.0222,20,0.0493,1,0.0025,0,0,0,0,7,0.0172,483,1204,614,39,0.0807,1,0.0021,50,0.1035,34,0.0704,12,0.0248,30,0.0621,0,0,1,0.0021,1,0.0021,4,0.0083
344,391,695,65,0.1662,9,0.023,32,0.0818,10,0.0256,32,0.0818,43,0.11,3,0.0077,1,0.0026,0,0,0,0,336,659,532,49,0.1458,10,0.0298,31,0.0923,13,0.0387,27,0.0804,28,0.0833,3,0.0089,0,0,0,0,0,0,352,646,579,46,0.1307,9,0.0256,26,0.0739,22,0.0625,33,0.0938,23,0.0653,8,0.0227,3,0.0085,0,0,0,0
345,1170,3606,110,0.094,5,0.0043,115,0.0983,26,0.0222,44,0.0376,50,0.0427,3,0.0026,9,0.0077,2,0.0017,44,0.0376,1031,2829,1586,106,0.1028,7,0.0068,73,0.0708,29,0.0281,34,0.033,54,0.0524,1,0.001,8,0.0078,3,0.0029,24,0.0233,1104,3264,2200,115,0.1042,0,0,102,0.0924,77,0.0697,57,0.0516,54,0.0489,0,0,11,0.01,27,0.0245,36,0.0326
346,661,1837,105,0.1589,4,0.0061,126,0.1906,43,0.0651,47,0.0711,41,0.062,1,0.0015,2,0.003,1,0.0015,32,0.0484,664,1783,1367,98,0.1476,18,0.0271,115,0.1732,40,0.0602,56,0.0843,53,0.0798,8,0.012,3,0.0045,3,0.0045,25,0.0377,669,1798,1329,102,0.1525,9,0.0135,89,0.133,40,0.0598,46,0.0688,55,0.0822,3,0.0045,3,0.0045,1,0.0015,12,0.0179
347,368,899,33,0.0897,3,0.0082,53,0.144,26,0.0707,29,0.0788,20,0.0543,2,0.0054,13,0.0353,1,0.0027,21,0.0571,368,932,802,28,0.0761,3,0.0082,50,0.1359,20,0.0543,22,0.0598,14,0.038,2,0.0054,5,0.0136,1,0.0027,20,0.0543,327,802,637,26,0.0795,1,0.0031,44,0.1346,15,0.0459,20,0.0612,16,0.0489,0,0,5,0.0153,0,0,13,0.0398
348,446,991,43,0.0964,5,0.0112,58,0.13,27,0.0605,9,0.0202,20,0.0448,3,0.0067,0,0,0,0,17,0.0381,529,1361,855,52,0.0983,7,0.0132,74,0.1399,32,0.0605,17,0.0321,21,0.0397,2,0.0038,1,0.0019,2,0.0038,7,0.0132,546,1390,920,61,0.1117,7,0.0128,80,0.1465,50,0.0916,27,0.0495,25,0.0458,3,0.0055,1,0.0018,2,0.0037,18,0.033
